season_FALL,season_SPRING,season_SUMMER,season_WINTER,holiday_binary,workingday_binary,weather_GOOD,weather_MISTY,weather_RAIN_SNOW_STORM,temp,hum,windspeed,days_since_2011,cnt
0,0,0,1,0,0,0,1,0,8.175849,80.5833,10.749882,0,985
0,0,0,1,0,0,0,1,0,9.083466,69.6087,16.652113,1,801
0,0,0,1,0,1,1,0,0,1.229108,43.7273,16.636703,2,1349
0,0,0,1,0,1,1,0,0,1.4,59.0435,10.739832,3,1562
0,0,0,1,0,1,1,0,0,2.666979,43.6957,12.5223,4,1600
0,0,0,1,0,1,1,0,0,1.604356,51.8261,6.0008684,5,1606
0,0,0,1,0,1,0,1,0,1.236534,49.8696,11.304642,6,1510
0,0,0,1,0,0,0,1,0,-0.244999999999999,53.5833,17.875868,7,959
0,0,0,1,0,0,1,0,0,-1.498349,43.4167,24.25065,8,822
0,0,0,1,0,1,1,0,0,-0.910849000000001,48.2917,14.958889,9,1321
0,0,0,1,0,1,0,1,0,-0.0527230000000003,68.6364,8.182844,10,1263
0,0,0,1,0,1,1,0,0,0.118169,59.9545,20.410009,11,1162
0,0,0,1,0,1,1,0,0,-0.244999999999999,47.0417,20.167,12,1406
0,0,0,1,0,1,1,0,0,-0.439109999999999,53.7826,8.478716,13,1421
0,0,0,1,0,0,0,1,0,2.966651,49.875,10.583521,14,1248
0,0,0,1,0,0,1,0,0,2.888349,48.375,12.625011,15,1204
0,0,0,1,1,0,0,1,0,0.264151,53.75,12.999139,16,1000
0,0,0,1,0,1,0,1,0,2.183349,86.1667,9.833925,17,683
0,0,0,1,0,1,0,1,0,5.732178,74.1739,13.957239,18,1650
0,0,0,1,0,1,0,1,0,4.298349,53.8333,13.125568,19,1927
0,0,0,1,0,1,1,0,0,0.342499999999999,45.7083,23.667214,20,1543
0,0,0,1,0,0,1,0,0,-5.2208712,40.0,11.52199,21,981
0,0,0,1,0,0,1,0,0,-3.4634801,43.6522,16.5222,22,986
0,0,0,1,0,1,1,0,0,-3.4226089,49.1739,10.60811,23,1416
0,0,0,1,0,1,0,1,0,2.503466,61.6957,8.696332,24,1985
0,0,0,1,0,1,0,0,1,2.2225,86.25,19.68795,25,506
0,0,0,1,0,1,1,0,0,1.165,68.75,7.627079,26,431
0,0,0,1,0,1,0,1,0,1.563466,79.3043,8.2611,27,1167
0,0,0,1,0,0,1,0,0,1.236534,65.1739,9.739455,28,1098
0,0,0,1,0,0,1,0,0,2.176534,72.2174,4.9568342,29,1096
